0,1,2,3,4,5,6,7
318,cure,[kjʊə(r)],vt.治愈 n.治愈；疗法,"The doctor treated his headache with a
new drug but didn't cure him.","医生用一种新药给他治头痛，但没有治
愈。",,
319,curious,[ˈkjʊəriəs],"a.(about)好奇的；稀奇
的","People have always been curious about
exactly how life on earth began.","人们一直对生命究竟是怎样起源的感到
好奇。",,
320,curtain,[ˈkɜ:tn],n.（窗、门）帘,There was no curtain at the window.,这扇窗没有窗帘。,,
321,custom,[ˈkʌstəm],"n.习惯；习俗，风俗；
[pl.]海关","It is the custom for the Japanese to bow
when they meet their acquaintances.",遇见熟人时鞠躬是日本人的习惯。,,
322,cut,[kʌt],"(cut,cut) v.割，切，
削，剪 n.伤口；削减；
理发",The gas had been cut off.,煤气被切断了。,,
323,daily,[ˈdeɪli],"a.每日的 ad.每日 n.日
报","Telephone plays an important part in
our daily life.","电话在我们的日常生活中起着重要作
用。",,
324,damage,[ˈdæmɪdʒ],n./vt.毁坏，损害,"Smoking can severely damage your
health.",吸烟会严重损害人体健康。,,
325,damp,[dæmp],n./a.潮湿（的）,"These clothes aren't dry yet; they are still
damp.",这些衣服未干，仍然很湿。,,
326,danger,[ˈdeɪndʒə(r)],n.危险，威胁,"You may be in danger if you travel
alone late at night.",一个人深夜出行可能会有危险。,,
327,dare,[deə(r)],v./modal v.敢，敢于,"He wanted to ask her, but he didn't
dare.",他想问她，但又不敢。,,
328,data,[deɪt],n.资料，数据,"Feed the data into the computer and
have them analyzed.",将资料输入电脑并加以分析。,,
329,day,[deɪ],"n.（一）天，（一）
日；白天","One day I met him in the street and he
told me that he would come to see me
some day.","有一天，我在街上遇到了他，他说哪天
他会来看我的。",,
330,deaf,[def],a.聋的,He is deaf to all advice.,他不听任何劝告。,,
331,deal,[di:l],"n.量，数额；协议，交
易 (dealt,dealt) v.交
易；对付","However, it taught me to deal with
problems all alone.",尽管如此，这教会了我独立解决问题。,,
332,death,[deθ],n.死亡,"The painter won public recognition after
his death.",这位画家去世后才得到公众的赏识。,,
333,debt,[det],n.债务,Their company is still in debt this year.,今年他们公司仍然负债。,,
334,decide,[dɪˈsaɪd],v.决定，下决心,"At last, Susan decided that she was
ready to try the trip on her own.",最后，苏珊决定尝试一下独自出行。,,
335,declare,[dɪˈkleə(r)],vt.宣布；声明，断言,We declared for/against their proposal.,我们声明赞成/反对他们的建议。,,
336,decrease,[dɪˈkri:s],"[dɪˈkri:s] v./ [ˈdɪ:kri:s]
n.减少，减小","The price of wheat has decreased by
twenty percent.",小麦价格降低了 20%。,,
337,deep,[di:p],a.深的 ad.深深地,How deep is the lake?,湖水有多深？,,
338,defeat,[dɪˈfi:t],vt./n.击败，战胜,"Know the enemy and know yourself,and
you can fight a hundred battles with no
danger of defeat.",知己知彼，百战不殆。,,
339,defence,[dɪˈfens],n.防御，保护；辩护,Offence is the best defense.,进攻是最好的防御。,,
340,degree,[dɪˈgri:],"n.度（数）；学位；程
度","To a degree, it is possible to educate
oneself.",从某种程度上讲，自学是可能的。,,
341,delay,[dɪˈleɪ],n./v.延迟，耽搁，拖延,Report it to the police without delay.,赶快将此事报告警官。,,
342,delicious,[dɪˈlɪʃəs],a.美味的，可口的,Who cooked this? It's delicious.,这是谁做的？美味极了。,,
343,delight,[dɪˈlaɪt],n.快乐；乐事 vt.使高兴,"This news will delight his fans all over the
world.",这消息将使他全世界的粉丝感到高兴。,,
344,demand,[dɪˈmɑ:nd],vt./n.要求，需要,"The UN has demanded that all troops
be withdrawn.",联合国已要求撤出所有部队。,,
345,department,[dɪˈpɑ:tmənt],"n.（企业、机构等的）
部、局、处、科等；
（大学的）系","Could you put me through to the sales
department?",你能帮我转接销售部吗？,,
346,depend,[dɪˈpend],"vi.依靠，依赖，指望；
取决于",Can I depend on him? That depends.,“我能相信他吗？”“那得视情况而定。”,,
347,depth,[depθ],n.深，深度,He can dive to a depth of thirty feet.,他可以潜水到 30 英尺深的地方。,,
348,describe,[dɪˈskraɪb],vt.描述，形容,Can you describe the man you saw?,你能形容一下你见过的那个男子吗？,,
349,desert,[ˈdezət],"[ˈdezət] n.沙漠 [deˈz
ə:t] vt.遗弃","To his surprise, he found a deserted hut
in the desert.","使他惊奇的是，他在沙漠里发现了一个
空无人住的茅屋。",,
350,deserve,[dɪˈzɜ:v],vt.应受，值得,"If you do wrong, you deserve punishing.",你如果做错事，就应当受罚。,,
351,design,[dɪˈzaɪn],"vt.设计，策划 n.设计；
图案","They asked me to design a poster for
the campaign.",他们请我为这次运动设计一张海报。,,
352,desire,[dɪˈzaɪə(r)],v./n.渴望；期望,He desired to return to Mexico.,他渴望回墨西哥去。,,
353,destroy,[dɪˈstrɔɪ],vt.破坏，毁坏,The fire destroyed the whole forest.,这场火灾毁坏了整个森林。,,
354,determine,[dɪˈtɜ:mɪn],v.决定；下定决心,"They determined to leave at once.
They were determined to leave.","（ a）他们决心立刻离开。 （b）他们
决心离开。",,
355,develop,[dɪˈveləp],"v.发展；开发；冲洗
（照片）","She developed the company from
nothing.",她白手起家办起了这个公司。,,
356,devote,[dɪˈvəʊt],vt.致力，献身；用于,He devoted himself to writing films.,他倾力创作电影剧本。,,
357,die,[daɪ],vi.死；枯萎,"Many old customs are gradually dying
out.",许多旧习俗都在日渐消逝。,,
358,diet,[ˈdaɪət],n.饮食,She has been on a diet for a week.,她节食一周了。,,
359,difference,[ˈdɪfrəns],n.差别，差异,"There is a difference of ten degrees in
temperature between the day and the
night.",白天和黑夜温度相差 10 度。,,
360,difficulty,[ˈdɪfɪkəlti],n.困难；难事，难题,I had great difficulty in doing the work.,我做那份工作感到很吃力。,,
361,digest,[daɪˈdʒest],vt.消化；领会,"Some books are to be tasted, others to
be swallowed, and some few to be
chewed and digested.","有些书浅尝辄止，有些书可以囫囵吞
枣，少数则须咀嚼消化。(培根）",,
362,direction,[dəˈrekʃn],"n.方向，方位；说明
（书）",Tom went off in the direction of home.,汤姆朝家的方向去了。,,
363,director,[dəˈrektə(r)],"n.负责人，主管；董
事；导演",Who is the director of the film?,这部电影的导演是谁？,,
364,dirty,[ˈdɜ:ti],a.脏的,"This tie is dirty, so I'll take it to the
cleaner's.","这条领带脏了，所以我要把它送去洗衣
店。",,
365,disable,[dɪsˈeɪbl],a.残疾的；丧失能力的,The disabled boy sat on a chair.,那个残疾男孩坐在椅子上。,,
366,disadvantage,"[ˌdɪsədˈvɑ:nt
ɪdʒ]",n.不利（条件）；弱点,"His inability to speak English put him at a
disadvantage at the international
conference.","他因不会说英文而在国际会议上处于不
利地位。",,
367,disagree,[ˌdɪsəˈgri:],vi.不同意；不符,I disagree with you about this.,在这件事上，我跟你意见不同。,,
368,disappear,[ˌdɪsəˈpɪə(r)],vi.消失,"The sun had disappeared behind a
cloud.",太阳躲在云朵后面看不见。,,
369,disaster,[dɪˈzɑ:stə(r)],n.灾难，祸患,"After surviving a great disaster, one is
bound to have good fortune in later
years.",[谚]大难不死，必有后福。,,
370,discover,[dɪˈskʌvə(r)],vt.发现,"The Curies are best known for
discovering radium.",居里夫人最知名之处是发现镭。,,
371,discuss,[dɪˈskʌs],vt.讨论,We discussed when to go.,我们商量什么时候动身。,,
372,discussion,[dɪˈskʌʃn],"n.(about,on)讨论，议
论",They had a discussion about the matter.,他们讨论了那件事。,,
373,disease,[dɪˈzi:z],n.病，疾病,Disease is usually caused by germs.,疾病通常由细菌引起。,,
374,dislike,[dɪsˈlaɪk],vt./n.不喜欢，厌恶,This boy dislikes maths.,这个男孩不喜欢数学。,,
375,distance,[ˈdɪstəns],n.距离,"There stands a high mountain in the
distance.",远处有一座高山。,,
376,distinguish,[dɪˈstɪŋgwɪʃ],"v.区别，辨认出；使杰
出","It was hard to distinguish one twin from
the other.",一对孪生儿中，很难辨认出谁是谁。,,
377,district,[ˈdɪstrɪkt],n.区，地区，区域,"John lives in a different school district
from mine.",约翰和我住在不同的学区。,,
378,disturb,[dɪˈstɜ:b],vt.扰乱，打扰；使不安,Don't disturb him; he is asleep.,别打扰他，他睡了。,,
379,divide,[dɪˈvaɪd],vt.划分；分开；除,Let's divide the apple into halves.,我们把苹果分成两半吧。,,
380,do,[du],"(did,done) vt.做
aux.v.（构成疑问句及
否定句，无实际词义）",I do believe you.,我真的相信你。,,
381,doubt,[daʊt],n./v.怀疑；疑虑,"There is no doubt that one day a cure
will be found.",毫无疑问，总有一天会找到治疗方法。,,
382,down,[daʊn],"ad.向下 prep.往/在……
下方；沿着（河流、街
道）",We walked down the street.,我们沿着街道走。,,
383,dozen,[ˈdʌzn],n.一打（12个）；许多,"She went to the bookstore and bought
dozens of books.",她去书店买了很多本书。,,
384,drawer,[drɔ:(r)],n.抽屉,I put it back inside your drawer.,我把它放回你的抽屉里去。,,
385,dream,[dri:m],"(-ed,-ed或
dreamt,dreamt) v.做
梦；向往 n.梦；愿望",He dreams of becoming a pilot.,他梦想成为一名飞行员。,,
386,dress,[dres],"n.连衣裙；[总称]服装
vi.穿衣；穿着 vt.给……
穿衣",Kids love dressing up.,孩子们喜欢装扮成别人玩。,,
387,drink,[drɪŋk],"(drank,drunk) v.喝，
饮；喝酒 n.饮料；酒",Don't drink and drive.,切勿酒后驾车！,,
388,drive,[draɪv],"(drove,driven) v.开
（车），驾驶；驱赶","Mr. Smith rides his bike to work while Mr.
Brown drives his car; sometimes they ride
the bus.","史密斯先生骑自行车上班，而布朗先生
开车上班；有时候，他们乘公共汽车上
班。",,
389,drop,[drɒp],"n.滴；下降 v.（使）落
下；掉下；放弃；顺便
拜访","Why don't you drop in for a drink one
evening?",你哪天晚上过来喝一杯怎么样？,,
390,drug,[drʌg],n.药，药物；毒品,"This drug will get rid of the pain in your
back.",这药可以消除你的背痛。,,
391,drunk,[drʌŋk],a.[表语]醉的 n.醉酒者,The man got drunk.,这个人醉了。,,
392,duty,[ˈdju:ti],n.职责；义务；税,"As the busiest woman in Morton, she
made it her duty to look after all the other
people's affairs in that town.","作为诺顿镇最忙的女人，她把料理镇里
所有人的事情看成是自己的职责。",,
393,each,[i:tʃ],det./pron.每个,Each of us has a room.,我们每人有一个房间。,,
394,eager,[ˈi:gə(r)],a.渴望的，热切的,"She is eager to go to college, but
anxious about not passing the entrance
examinations.","她渴望上大学，但又担心不能通过入学
考试。",,
395,earn,[ɜ:n],vt.挣得，赚得；博得,"You're old enough to earn your own
living.",你这么大，能够自食其力了。,,
396,earthquake,[ˈɜ:θkweɪk],n.地震,"An earthquake struck California on June
twenty eight.",6 月 28 日加利福尼亚州发生了地震。,,
397,easy,[ˈi:zi],a.容易的，不费力的,Easier said than done.,[谚]说比做容易。,,
398,edge,[edʒ],n.边缘；刀口,The glass is set on the edge of the table.,玻璃杯摆在桌子边缘。,,
399,education,[ˌedʒuˈkeɪʃn],n.教育，培养,"A good education is an advantage in
life.",良好的教育是生存的一个优势。,,
400,effect,[ɪˈfekt],n.影响，效果，结果,"But his way of speaking had the opposite
effect on the patients.","但是他说话的方式对病人产生了相反的
效果。",,
401,effort,[ˈefət],n.努力；艰难的尝试,"Getting a high grade in every subject
requires great effort.",想要每门课都得高分需要非常努力。,,
402,either,[ˈaɪðə(r)],"a.（两者中）任一的
ad.[用于否定句或否定
句词组后加强语气]也
pron.（两者中）任一
conj.或者","He can't play the piano. And I can't
either.",他不会弹钢琴，我也不会。,,
403,elder,[ˈeldə(r)],n.长者，前辈,"My elder brother is seven years older
than my younger sister.",我哥哥比我妹妹大 7 岁。,,
404,elect,[ɪˈlekt],vt.选举；选择，决定,We elected him Chairman.,我们选他当主席。,,
405,electricity,[ɪˌlekˈtrɪsəti],n.电，电流,This machine is driven by electricity.,这部机器是电动的。,,
406,else,[els],"a.别的，其他的 ad.
（常用于疑问副词后）
另外，其他","She's like a different child when there's
no one else around.","当周围没有其他人时，她就像是变了一
个人似的。",,
407,emergency,[iˈmɜ:dʒənsi],n.紧急情况或状态,Open this door in an emergency.,紧急时刻开此门。,,
408,employ,[ɪmˈplɔɪ],vt.雇用,He employs fifty men in his factory.,他在他的工厂里雇用了 50 个人。,,
409,encourage,[ɪnˈkʌrɪdʒ],vt.鼓励,"Cooder was encouraged to begin
playing the guitar by his father.",库德在他父亲的鼓励下开始弹吉他。,,
410,end,[end],n.末梢；结局；结束,"Smell the flowers before you go to sleep,
and you may just end up with sweet
dreams.","睡前闻闻这些花，你可能就会一夜好
梦。",,
411,energetic,[ˌenəˈdʒetɪk],a.精力旺盛的,This world belongs to the energetic.,[谚]世界属于精力旺盛的人。,,
412,engine,[ˈendʒɪn],n.发动机，引擎,The engine won't start.,引擎发动不起来。,,
413,enjoy,[ɪnˈdʒɔɪ],"vt.喜欢，享受……的乐
趣；享有",Sandra enjoys her job in the city.,桑德拉很喜欢她在城里的这份工作。,,
414,enough,[ɪˈnʌf],"n./ad./a.足够（的/
地），充分（的/地）",It's bright enough for reading.,天够亮了，可以看书了。,,
415,enter,[ˈentə(r)],vt.进入；参加，加入,Someone entered the room behind me.,有人跟着我进了屋。,,
416,entire,[ɪnˈtaɪə(r)],a.完全的；整个的,I was in entire ignorance of the matter.,我完全不知道那件事。,,
417,entrance,[ˈentrəns],n.入口；入场，进入,"I'll meet you at the entrance of the zoo
tomorrow.",明天我会在动物园的入口和你见面。,,
418,envelope,[ˈenvələʊp],n.信封,She sealed the envelope.,她把信封封上。,,
419,environment,"[ɪnˈvaɪrənmə
nt]",n.环境,"The children grew up in beautiful
surroundings, but not in a happy home
environment.","孩子们在美丽的环境中长大，但是却缺
少一个幸福的家庭环境。",,
420,envy,[ˈenvi],vt./n.羡慕；忌妒,She has always envied my success.,她一直嫉妒我的成功。,,
421,equal,[ˈi:kwəl],"a.平等的；相等的；胜
任的 vt.等于；比得上","Fitness is important in sport, but of at
least equal importance are skills.","健康在运动中很重要，但技巧至少同样
重要。",,
422,equip,[ɪˈkwɪp],vt.装备，配备,"The soldiers were well equipped with
weapons.",士兵们配备了精良的武器。,,
423,error,[ˈerə(r)],n.错误，过失,There are too many errors in your work.,你的工作失误太多。,,
424,escape,[ɪˈskeɪp],v./n.逃跑，逃脱,"So sudden was the attack that the
enemy had no time to escape.","袭击如此突然以至于敌人根本没有时间
逃跑。",,
425,especially,[ɪˈspeʃəli],"ad.特别，尤其；特
地；十分","I never liked long walks, especially in
winter.","我从来都不喜欢长距离散步，尤其是在
冬天。",,
426,even,[ˈi:vn],"ad.甚至；更；连（……
都）","Tim is in good shape physically even
though he doesn't get much exercise.",虽然蒂姆不常锻炼，但他身体不错。,,
427,ever,[ˈevə(r)],ad.曾经；无论何时,Have you ever seen the Queen?,你曾经见过女王吗？,,
428,everything,[ˈevriθɪŋ],pron.所有事物；一切,Everything useful has been taken away.,所有有用的东西都被拿走了。,,
429,exact,[ɪgˈzækt],"a.确切的，准确的；严
谨的","To be exact, she's a very exact person.",确切地说，她是一个一丝不苟的人。,,
430,examine,[ɪgˈzæmɪn],vt.检查；审查；测验,The doctor examined him carefully.,医生仔细检查了他的身体。,,
431,excellent,[ˈeksələnt],a.极好的，优秀的,He is excellent in mathematics.,他的数学非常好。,,
432,except,[ɪkˈsept],prep.除……之外,"All of them went to the cinema except
Tom. They all agreed that it was really a","除了汤姆，他们都去看电影了。大家一
致认为，除了主题曲，这部电影真是棒
极了。",,
,,,,"wonderful film except for the theme
song.",,,
433,exchange,[ɪksˈtʃeɪndʒ],n./vt.交换，调换；兑换,We had an exchange of thoughts.,我们交换了想法。,,
434,excite,[ɪkˈsaɪt],vt.使兴奋，使激动,"The news excited me.=I was excited to
hear the news.",听到这消息，我很兴奋。,,
435,exhibition,[ˌeksɪˈbɪʃn],n.展览,Have you seen the Picasso exhibition?,你看过毕加索的画展吗？,,
436,exist,[ɪgˈzɪst],vi.存在；生存，生活,We can not exist without food or water.,没有食物和水我们无法生存。,,
437,expect,[ɪkˈspekt],"vt.期望，预期；以为，
料想","We can never expect a bluer sky unless
we create a less polluted world.","如果我们不创造一个污染较轻的世界，
就无法期望有一个更蓝的天空。",,
438,expense,[ɪkˈspens],n.费用，开支,"Conference rooms were equipped at
great expense.",装备会议室花了一大笔费用。,,
439,experience,[ɪkˈspɪəriəns],n.经历；经验,"Mr. Kroll is an officer with experience,
who has many odd experiences.","克罗尔先生是个有经验的军官，他有很
多奇特的经历。",,
440,expert,[ˈekspɜ:t],n.专家，能手,He is an expert in economics.,他是经济学专家。,,
441,explain,[ɪkˈspleɪn],v.解释，说明,"Can you explain to me how this
machine works?","你能向我解释一下这台机器是如何运转
的吗？",,
442,explode,[ɪkˈspləʊd],"v.（使）爆炸；突然爆
发","Bombs were exploding all around the
city.",城里到处都响起炸弹的爆炸声。,,
443,explore,[ɪkˈsplɔ:(r)],v.探测，勘探；探索,"The oceans have not yet been fully
explored.",海洋还未被充分勘探。,,
444,export,[ˈekspɔ:t],v.出口，输出,The United States exports soybeans.,美国出口大豆。,,
445,express,[ɪkˈspres],"vt.表示，表达 a.特快的
n.快车；快递服务","He expressed his wish that he would go
there on an express train.","他表达了他想坐特快列车去那儿的愿
望。",,
446,expression,[ɪkˈspreʃn],n.表达；词句；表情,"He always has a sad expression on his
face.",他脸上总是流露出一种忧伤的表情。,,
447,extra,[ˈekstrə],a.额外的，外加的,Breakfast is provided at no extra charge.,供应早餐，不另收费。,,
448,extraordinary,[ɪkˈstrɔ:dnri],a.异乎寻常的；非凡的,What an extraordinary thing to say!,真是咄咄怪事！,,
449,extreme,[ɪkˈstri:m],"a.极端的，极度的；末
端的，尽头的","We are working under extreme pressure
at the moment.",目前我们正在极大的压力下工作。,,
450,eye,[aɪ],n.眼睛,There were tears in his eyes.,他眼里噙着泪水。,,
451,face,[feɪs],"n.脸；面部表情；人；
表面 v.面对，正对",Most of the rooms face the sea.,多数房间面向大海。,,
452,fact,[fækt],n.事实，实际,"I thought the work would be difficult. In
fact, it's very easy.","我原以为这工作会很难，事实上却很简
单。",,
453,factory,[ˈfæktri],n.工厂,My sister works in a factory.,我姐姐在一家工厂工作。,,
454,fail,[feɪl],"v.失败；未做；不及
格；衰退 n.不及格","Some students failed to get a bachelor's
degree because they failed the CET
Band -4.","有些学生因为大学英语四级考试不及格
而拿不到学士学位。",,
455,fair,[feə(r)],"a.公平的，公正的；
（肤色）白皙的，（头
发）金色的 n.集市；博
览会","It's not fair for you to treat the fair man
with fair hair like that.","你那样对待那位金黄头发的白皙男子是
不公平的。",,
456,fall,[fɔ:l],"(fell,fallen) vi.落下，降
临；跌倒 n.(AmE)秋季
[=autumn]",Be careful on the ice or you'll fall.,在冰上要小心，否则你会跌倒。,,
457,false,[fɔ:ls],a.不正确的；假的,"What is true cannot become false and
what is false cannot become true.",真的假不了，假的真不了。,,
458,familiar,[fəˈmɪliə(r)],"a.熟悉的；通晓的；过
分亲密的",Your name is very familiar to me.,你的名字我很熟悉。,,
459,far,[fɑ:(r)],"(farther,farthest 或
further,furthest) a./ad.
远的/地","So far it has been by far the tallest
building in the city.","到目前为止那是这座城市里最高的建筑
物。",,
460,fault,[fɔ:lt],n.错误；缺点，毛病,Nobody lives without faults.,人无完人。,,
461,favo(u)r,['feɪvə],"n.帮助，恩惠；偏爱；
支持","Could you do me a favor and pick up
Sam from school today?",今天你能帮我个忙去学校接萨姆吗？,,
462,fear,[fɪə(r)],n.害怕，恐惧；担忧,"We spoke quietly for fear of waking the
guards.",我们悄悄说话，以免惊醒警卫。,,
463,fee,[fi:],n.费（会费、学费等）,What is the membership fee?,会费是多少？,,
464,feed,[fi:d],"(fed,fed) v.喂养，饲
养；进食",Horses feed on grass.,马以草为食。,,
465,feel,[fi:l],"(felt,felt) v.感觉；摸起
来；触摸","Ice feels cold. If you feel it for a while,
you will feel cold.","冰摸起来凉，如果你摸它一会儿，你就
会感觉到冷。",,
466,female,[ˈfi:meɪl],"n./a.女性（的）；雌性
（的）","Do you have more male friends than
female friends?",你的男性朋友比女性朋友多吗？,,
467,fence,[fens],n.篱笆，栅栏，围栏,"The garden was surrounded by a
wooden fence.",花园被木栅栏圈起。,,
468,festival,[ˈfestɪvl],n.节日；节,"Christmas is an important Christian
festival.",圣诞节是基督教的重要节日。,,
469,fetch,[fetʃ],vt.拿来，取来，带来,"I asked Lily to fetch me an English book,
but she brought me a Chinese one. So I
asked her to take it back to the
teacher's office.","我让莉莉去给我拿一本英语书，她却拿
来了一本汉语书。于是我让她拿回老师
办公室。",,
470,few,[fju:],"a.[修饰可数名词]少数
的，不多的；几乎没有
pron.不多，少数",I have few friends.,我几乎没有朋友。,,
471,fierce,[fɪəs],a.凶猛的；猛烈的,We were caught in a fierce storm.,我们碰到猛烈的暴风雨。,,
472,fight,[faɪt],"(fought,fought) v.
（与……）打仗，
（与……）斗争 n.战斗，
斗争","My grandfather fought against the
Fascists in Spain.","我的祖父曾经在西班牙与法西斯分子作
战。",,
473,figure,[ˈfɪgə(r)],"n.外形；图形；数字；
身材；人物，雕像 vt.计
算；描绘；揣测；想象",The figure of the figures on show is 108.,在展的雕像数是 108。,,
474,fill,[fɪl],v.装满，填充,The glass is filled with water.,玻璃杯里装满了水。,,
475,final,[ˈfaɪnl],"a.最后的，最终的；决
定性的",Is this his final decision?,这是他最后的决定吗？,,
476,find,[faɪnd],"(found,found) vt.找
到；发现；感到；发觉",I found the book he was looking for.,我找到了他正在找的书。,,
477,finish,[ˈfɪnɪʃ],"v.完成；结束 n.结束，
结局",I finished reading the book yesterday.,昨天我把那本书看完了。,,
478,fire,[ˈfaɪə(r)],"n.火；火灾；火炉 v.开
火，射击；解雇","Fired,she got angry with his boss and set
his house on fire.","被解雇后，他对老板怀恨在心，把老板
家的房子点着了。",,
479,fit,[fɪt],"v.（使）适合；安装 a.
适合的；健康的","The dress fits you well, but its colour
doesn't suit you.",你穿这衣服很合身，但颜色不合适。,,
480,flame,[fleɪm],n.火焰,The whole city was in flames.,整个城市变成了一片火海。,,
481,flexible,[ˈfleksəbl],a.易弯曲的；灵活的,"We can be flexible about your starting
date.",你从哪天开始，我们可以灵活一点。,,
482,flight,[flaɪt],"n.空中航行；航班；飞
行","Cindy took the ten o'clock flight to New
York.",辛迪乘 10 点钟的飞机去纽约。,,
483,focus,[ˈfəʊkəs],"v.(on)（使）聚集；
（使）集中 n.[pl.foci
或 focuses]焦点；中心","The decision focused on three main
problems.",讨论集中在 3 个主要问题上。,,
484,follow,[ˈfɒləʊ],"vt.跟随；遵循；仿效；
理解","You speak so fast that I can't quite
follow you.",你讲得太快了，我有点听不懂。,,
485,fond,[fɒnd],a.喜爱的，爱好的,"More and more young people are fond
of playing tennis nowadays.",如今越来越多的年轻人喜欢打网球。,,
486,fool,[fu:l],"n.傻子，蠢人 vt.愚弄，
欺骗",Do you take me for a fool?,你把我当傻子吗？,,
487,for,[fə(r)],prep.为了 conj.因为,"I don't want to go, for it's raining.",因为在下雨，所有我不想去。,,
488,forbid,[fəˈbɪd],"(forbade,forbidden)
vt.禁止，不许",We are forbidden to smoke in his room.,我们不可以在他的房间吸烟。,,
489,force,[fɔ:s],vt.强迫,"Mrs. White forced her son to attend the
ceremony.",怀特太太强迫他儿子参加典礼。,,
490,forecast,[ˈfɔ:kɑ:st],"(forecast,forecast 或 -
ed,-ed) vt./n.预测，预
报","I usually listen to the weather forecast,
though I have little faith in it.","我经常收听天气预报，尽管我不太相信
它。",,
491,forever,[fərˈevə(r)],ad.永远,Nobody lives forever.,没有人可以永生不老。,,
492,forget,[fəˈget],"(forgot,forgotten) v.忘
记",Tom forgot to tell her about it.,汤姆忘记告诉她这件事了。,,
493,forgive,[fəˈgɪv],"(forgave,forgiven) vt.
原谅，宽恕",I've tried to forgive him for what he said.,我试图原谅他所说的话。,,
494,form,[fɔ:m],"n.形式；形状；表格；
结构 v.形成；组织，建
立",Ms. Parker formed a tennis club.,帕克女士组建了一个网球俱乐部。,,
495,former,[ˈfɔ:mə(r)],"a.以前的，在前的，
（两者中）前者的
n.[the~]（两者中的）
前者","I have visited both Budapest and
Vienna and I prefer the former.","我去过布达佩斯和维也纳这两个地方。
我比较喜欢布达佩斯。",,
496,fortunate,[ˈfɔ:tʃənət],a.幸运的；巧合的,"It was fortunate that nobody was hurt in
the accident.",所幸的是事故中无人受伤。,,
497,forward,[ˈfɔ:wəd],"ad.(also forwards)/a.
向前（的）","He came forward and shook me by the
hand.",他走上前握住了我的手。,,
498,fountain,[ˈfaʊntən],n.喷泉，喷水池；源泉,"A group of children are playing in the
fountain in the park.",一群孩子正在公园的喷泉中玩耍。,,
499,free,[fri:],"a.自由的；空闲的；免
费的","You can't expect people to work for
free.",你不能指望人工作不要报酬。,,
500,freeze,[fri:z],"(froze,frozen) v.（使）
结冰；（使）凝固；
（使）冻僵",Water freezes at 0℃.,水在 0 摄氏度时结冰。,,
501,frequent,[ˈfri:kwənt],a.经常的，频繁的,John makes frequent journeys to Britain.,约翰经常到英国旅行。,,
502,friend,[frend],n.朋友,"My father likes to make friends with
doctors.",我父亲喜欢与医生交朋友。,,
503,frighten,[ˈfraɪtn],vt.使惊恐，吓唬,"Sorry, I didn't mean to frighten you.",对不起，我不是有意吓唬你的。,,
504,fuel,[ˈfju:əl],n.燃烧,"Most air pollution is caused by the
burning of fuels like coal, gas and oil.","大多数的空气污染是由燃烧像煤炭、天
然气和石油等燃料引起的。",,
505,full,[fʊl],"a.满的，充满的；完全
的；吃饱的",The glass is full of beer.,玻璃杯里装满了啤酒。,,
506,fun,[fʌn],"n.有趣的事；玩笑；娱
乐 a.有趣的","The children had great fun at the
birthday party.",孩子们在生日会上玩得很开心。,,
507,function,[ˈfʌŋkʃn],"n.功能，作用；职能，
职责 vi.起作用",The sofa functions as a bed at night.,这种沙发在夜里可以当床用。,,
508,future,[ˈfju:tʃə(r)],n.将来,"No one knows what will happen in the
future.",没有人知道将来会发生什么。,,
509,gain,[geɪn],v.获得，赢得,"The country gained its independence
ten years ago.",这个国家十年前赢得了独立。,,
510,garage,[ˈgærɑ:ʒ],n.车库,Mr. Lin bought a house with a garage.,林先生买了一栋带有车库的房子。,,
511,general,[ˈdʒenrəl],"a.总的；大体的，概括
的；一般性的 n.将军","I like meat in general and mutton in
particular.",总的来说我喜欢吃肉，特别爱吃羊肉。,,
512,generous,[ˈdʒenərəs],a.慷慨的；宽宏大量的,She's always very generous to the kids.,她对小孩总是很大方。,,
513,get,[get],"(got,got/gotten) v.得
到，获得；变得；成
为；（to）到达","I tried calling you several times, but I
couldn't get through.","我试着给你打了几次电话，但都没打
通。",,
514,give,[gɪv],"(gave,given) v.给；付
出；举办","If a person has not had enough sleep,his
actions will give him away during the
day.","如果一个人没有得到充足的睡眠，那么
他白天的行动就会暴露出他睡眠不足的
情况。",,
515,glory,[ˈglɔ:ri],"n.光荣，荣誉；美丽，
壮丽","The glory that goes with wealth is
fleeting and fragile; virtue is a possession
glorious and eternal.","与财富相连的光荣是短暂脆弱的，美德
才是永恒光荣的财富。",,
516,glove,[glʌv],n.手套,I need a new pair of gloves.,我需要一副新手套。,,
517,go,[gəʊ],"(went,gone) vi.去，
走；离开；进展","To get a better grade, you should go
over the notes again before the test.","为了取得一个更好的成绩，你应该在考
试前再复习一下笔记。",,
518,goal,[gəʊl],n.目标；（足球）球门,My goal in life is to write a book.,我的人生目标是写一本书。,,
519,good,[gʊd],"(better,best) a.好的；
善良的",He is good at drawing.,他擅长绘画。,,
520,government,[ˈgʌvənmənt],n.政府,"A new government has been
established.",新政府成立了。,,
521,gradual,[ˈgrædʒuəl],a.逐步的，逐渐的,A child's growth into an adult is gradual.,儿童长大成人是个渐进的过程。,,
522,graduate,[ˈgrædʒuət],vi.毕业,"He graduated in physics from
Cambridge University.",他是剑桥大学物理学专业毕业的。,,
523,graduation,"[ˌgrædʒuˈeɪʃ
n]",n.毕业（典礼）,It was my first job after graduation.,那是我毕业后的第一份工作。,,
